.x,y,B,Bx,By,yzeroed,xzeroed
-10.9,-5.8,0.001856718,-0.001442793,0.001168653,5.2,0.1
-10.9,-5.7,0.001866906,-0.001441802,0.001185979,5.3,0.1
-10.9,-5.6,0.001877212,-0.001440856,0.00120327,5.4,0.1
-10.9,-5.5,0.001887826,-0.001439497,0.001221365,5.5,0.1
-10.9,-5.4,0.00189897,-0.001437326,0.001241041,5.6,0.1
-10.9,-5.3,0.001910255,-0.001435155,0.001260716,5.7,0.1
-10.9,-5.2,0.001921677,-0.001432983,0.001280392,5.8,0.1
-10.9,-5.1,0.001933235,-0.001430812,0.001300067,5.9,0.1
-10.9,-5,0.001944865,-0.001428745,0.00131954,6,0.1
-10.9,-4.9,0.001956434,-0.001426989,0.001338409,6.1,0.1
-10.9,-4.8,0.001968118,-0.001425232,0.001357277,6.2,0.1
-10.9,-4.7,0.001975323,-0.001418481,0.001374704,6.3,0.1
-10.9,-4.6,0.001984604,-0.001412927,0.001393661,6.4,0.1
-10.9,-4.5,0.001994037,-0.001407373,0.001412617,6.5,0.1
-10.9,-4.4,0.002003621,-0.001401819,0.001431573,6.6,0.1
-10.9,-4.3,0.002013354,-0.001396265,0.00145053,6.7,0.1
-10.9,-4.2,0.002023232,-0.001390711,0.001469486,6.8,0.1
-10.9,-4.1,0.002033254,-0.001385157,0.001488443,6.9,0.1
-10.9,-4,0.002042642,-0.001378796,0.001507085,7,0.1
-10.9,-3.9,0.002051461,-0.001371689,0.001525438,7.1,0.1
-10.9,-3.8,0.00206043,-0.001364582,0.00154379,7.2,0.1
-10.9,-3.7,0.002069547,-0.001357474,0.001562142,7.3,0.1
-10.9,-3.6,0.002079535,-0.001350716,0.001581148,7.4,0.1
-10.9,-3.5,0.002090069,-0.001344151,0.001600514,7.5,0.1
-10.9,-3.4,0.002100749,-0.001337586,0.00161988,7.6,0.1
-10.9,-3.3,0.002111574,-0.001331021,0.001639246,7.7,0.1
-10.9,-3.2,0.002122485,-0.001324296,0.00165867,7.8,0.1
-10.9,-3.1,0.002132219,-0.001313594,0.001679532,7.9,0.1
-10.9,-3,0.002142165,-0.001302892,0.001700395,8,0.1
-10.9,-2.9,0.002150921,-0.001290747,0.001720592,8.1,0.1
-10.9,-2.8,0.002159855,-0.001278555,0.001740767,8.2,0.1
-10.9,-2.7,0.002169007,-0.001266363,0.001760942,8.3,0.1
-10.9,-2.6,0.002178377,-0.001254171,0.001781118,8.4,0.1
-10.9,-2.5,0.00218796,-0.001241979,0.001801293,8.5,0.1
-10.9,-2.4,0.002197754,-0.001229788,0.001821468,8.6,0.1
-10.9,-2.3,0.002207757,-0.001217596,0.001841644,8.7,0.1
-10.9,-2.2,0.002217965,-0.001205404,0.001861819,8.8,0.1
-10.9,-2.1,0.002228376,-0.001193212,0.001881994,8.9,0.1
-10.9,-2,0.002238986,-0.001181021,0.001902169,9,0.1
-10.9,-1.9,0.002249903,-0.001168919,0.001922417,9.1,0.1
-10.9,-1.8,0.002260459,-0.001154027,0.001943681,9.2,0.1
-10.9,-1.7,0.002267362,-0.001137457,0.001961408,9.3,0.1
-10.9,-1.6,0.002274502,-0.001120886,0.001979135,9.4,0.1
-10.9,-1.5,0.002281878,-0.001104315,0.001996862,9.5,0.1
-10.9,-1.4,0.002289488,-0.001087744,0.002014589,9.6,0.1
-10.9,-1.3,0.002297329,-0.001071173,0.002032316,9.7,0.1
-10.9,-1.2,0.002305398,-0.001054602,0.002050043,9.8,0.1
-10.9,-1.1,0.002314794,-0.001038048,0.002068993,9.9,0.1
-10.9,-1,0.002323631,-0.001021775,0.002086921,10,0.1
-10.9,-0.9,0.00233186,-0.001005617,0.002103879,10.1,0.1
-10.9,-0.8,0.002340295,-0.000989459,0.002120837,10.2,0.1
-10.9,-0.7,0.002348933,-0.000973302,0.002137796,10.3,0.1
-10.9,-0.6,0.002357772,-0.000957144,0.002154754,10.4,0.1
-10.9,-0.5,0.00236681,-0.000940986,0.002171712,10.5,0.1
-10.9,-0.4,0.002376044,-0.000924829,0.002188671,10.6,0.1
-10.9,-0.3,0.002385473,-0.000908671,0.002205629,10.7,0.1
-10.9,-0.2,0.002395094,-0.000892513,0.002222587,10.8,0.1
-10.9,-0.1,0.002405336,-0.000874373,0.002240784,10.9,0.1
-10.9,0,0.002411878,-0.000847662,0.002258014,11,0.1
-10.9,0.1,0.002412723,-0.000820022,0.002269095,11.1,0.1
-10.9,0.2,0.002412443,-0.000794501,0.00227786,11.2,0.1
-10.9,0.3,0.002412465,-0.00076898,0.002286626,11.3,0.1
-10.9,0.4,0.002412789,-0.000743458,0.002295391,11.4,0.1
-10.9,0.5,0.002413414,-0.000717937,0.002304156,11.5,0.1
-10.9,0.6,0.002414341,-0.000692415,0.002312921,11.6,0.1
-10.9,0.7,0.00241557,-0.000666894,0.002321687,11.7,0.1
-10.9,0.8,0.002417098,-0.000641373,0.002330452,11.8,0.1
-10.9,0.9,0.002419186,-0.000616108,0.002339418,11.9,0.1
-10.9,1,0.002425023,-0.000593554,0.002351262,12,0.1
-10.9,1.1,0.00243085,-0.000570394,0.002362982,12.1,0.1
-10.9,1.2,0.002436939,-0.000547233,0.002374702,12.2,0.1
-10.9,1.3,0.002443289,-0.000524072,0.002386421,12.3,0.1
-10.9,1.4,0.002449897,-0.000500912,0.002398141,12.4,0.1
-10.9,1.5,0.002456762,-0.000477751,0.002409861,12.5,0.1
-10.9,1.6,0.002463881,-0.00045459,0.002421581,12.6,0.1
-10.9,1.7,0.002470469,-0.000429803,0.002432794,12.7,0.1
-10.9,1.8,0.002474712,-0.000399422,0.002442265,12.8,0.1
-10.9,1.9,0.002478475,-0.000369139,0.002450832,12.9,0.1
-10.9,2,0.002481419,-0.000338991,0.002458155,13,0.1
-10.9,2.1,0.002484748,-0.000308842,0.002465479,13.1,0.1
-10.9,2.2,0.002487832,-0.000281973,0.0024718,13.2,0.1
-10.9,2.3,0.002490916,-0.0002566,0.002477664,13.3,0.1
-10.9,2.4,0.002494269,-0.000231227,0.002483528,13.4,0.1
-10.9,2.5,0.002497889,-0.000205855,0.002489392,13.5,0.1
-10.9,2.6,0.002501774,-0.000180482,0.002495256,13.6,0.1
-10.9,2.7,0.002505925,-0.000155109,0.00250112,13.7,0.1
-10.9,2.8,0.002508408,-0.000128992,0.002505089,13.8,0.1
-10.9,2.9,0.002503074,-9.97E-05,0.002501086,13.9,0.1
-10.8,-11,0.001333884,-0.001262561,0.00043033,0,0.2
-10.8,-10.9,0.001343432,-0.001269771,0.000438737,0.1,0.2
-10.8,-10.8,0.00135445,-0.001277794,0.000449196,0.2,0.2
-10.8,-10.7,0.001365528,-0.001285829,0.000459686,0.3,0.2
-10.8,-10.6,0.001376644,-0.001293863,0.000470176,0.4,0.2
-10.8,-10.5,0.001387796,-0.001301898,0.000480667,0.5,0.2
-10.8,-10.4,0.001398985,-0.001309933,0.000491157,0.6,0.2
-10.8,-10.3,0.001410055,-0.001317844,0.00050154,0.7,0.2
-10.8,-10.2,0.00141827,-0.001322104,0.00051335,0.8,0.2
-10.8,-10.1,0.001426885,-0.001326415,0.000525949,0.9,0.2
-10.8,-10,0.001435772,-0.001330945,0.000538543,1,0.2
-10.8,-9.9,0.001444729,-0.001335474,0.000551137,1.1,0.2
-10.8,-9.8,0.001453754,-0.001340004,0.000563731,1.2,0.2
-10.8,-9.7,0.001462846,-0.001344533,0.000576324,1.3,0.2
-10.8,-9.6,0.001472003,-0.001349062,0.000588918,1.4,0.2
-10.8,-9.5,0.001481629,-0.001354051,0.000601473,1.5,0.2
-10.8,-9.4,0.00149198,-0.001359799,0.000613962,1.6,0.2
-10.8,-9.3,0.001502385,-0.001365547,0.000626451,1.7,0.2
-10.8,-9.2,0.001512844,-0.001371296,0.000638941,1.8,0.2
-10.8,-9.1,0.001523355,-0.001377044,0.00065143,1.9,0.2
-10.8,-9,0.001534583,-0.001383263,0.000664477,2,0.2
-10.8,-8.9,0.001544973,-0.00138856,0.000677379,2.1,0.2
-10.8,-8.8,0.001555198,-0.001393665,0.000690173,2.2,0.2
-10.8,-8.7,0.001565477,-0.00139877,0.000702966,2.3,0.2
-10.8,-8.6,0.00157581,-0.001403875,0.000715759,2.4,0.2
-10.8,-8.5,0.001586195,-0.00140898,0.000728552,2.5,0.2
-10.8,-8.4,0.001596631,-0.001414085,0.000741346,2.6,0.2
-10.8,-8.3,0.001608031,-0.001419294,0.00075589,2.7,0.2
-10.8,-8.2,0.001619787,-0.001424535,0.00077098,2.8,0.2
-10.8,-8.1,0.001631614,-0.001429776,0.00078607,2.9,0.2
-10.8,-8,0.001643511,-0.001435016,0.000801159,3,0.2
-10.8,-7.9,0.001654322,-0.001439336,0.000815531,3.1,0.2
-10.8,-7.8,0.001663897,-0.00144262,0.000829096,3.2,0.2
-10.8,-7.7,0.001673534,-0.001445905,0.000842661,3.3,0.2
-10.8,-7.6,0.001683426,-0.001448675,0.000857475,3.4,0.2
-10.8,-7.5,0.001693746,-0.001450562,0.000874441,3.5,0.2
-10.8,-7.4,0.001704175,-0.001452448,0.000891408,3.6,0.2
-10.8,-7.3,0.00171471,-0.001454334,0.000908374,3.7,0.2
-10.8,-7.2,0.001725274,-0.001456208,0.000925218,3.8,0.2
-10.8,-7.1,0.001735096,-0.001457943,0.000940723,3.9,0.2
-10.8,-7,0.001745003,-0.001459679,0.000956229,4,0.2
-10.8,-6.9,0.001754993,-0.001461414,0.000971735,4.1,0.2
-10.8,-6.8,0.001765936,-0.001462527,0.000989719,4.2,0.2
-10.8,-6.7,0.001777254,-0.001463459,0.001008424,4.3,0.2
-10.8,-6.6,0.001788696,-0.001464391,0.001027129,4.4,0.2
-10.8,-6.5,0.00180026,-0.001465323,0.001045833,4.5,0.2
-10.8,-6.4,0.001811944,-0.001466254,0.001064538,4.6,0.2
-10.8,-6.3,0.001823692,-0.001467144,0.001083209,4.7,0.2
-10.8,-6.2,0.001832406,-0.001465546,0.001099949,4.8,0.2
-10.8,-6.1,0.001842008,-0.001464362,0.001117424,4.9,0.2
-10.8,-6,0.001851739,-0.001463221,0.001134865,5,0.2
-10.8,-5.9,0.001861643,-0.001462276,0.001152156,5.1,0.2
-10.8,-5.8,0.001871655,-0.001461331,0.001169447,5.2,0.2
-10.8,-5.7,0.001881773,-0.001460385,0.001186738,5.3,0.2
-10.8,-5.6,0.001891996,-0.00145944,0.001204029,5.4,0.2
-10.8,-5.5,0.001902546,-0.001458029,0.001222224,5.5,0.2
-10.8,-5.4,0.001913593,-0.001455858,0.0012419,5.6,0.2
-10.8,-5.3,0.00192478,-0.001453686,0.001261576,5.7,0.2
-10.8,-5.2,0.001936104,-0.001451515,0.001281251,5.8,0.2
-10.8,-5.1,0.001947564,-0.001449344,0.001300927,5.9,0.2
-10.8,-5,0.001959157,-0.001447172,0.001320602,6,0.2
-10.8,-4.9,0.001970881,-0.001445001,0.001340278,6.1,0.2
-10.8,-4.8,0.001983448,-0.001443172,0.001360631,6.2,0.2
-10.8,-4.7,0.001994734,-0.00143934,0.001381037,6.3,0.2
-10.8,-4.6,0.00200413,-0.001433654,0.001400419,6.4,0.2
-10.8,-4.5,0.002013685,-0.001427968,0.001419801,6.5,0.2
-10.8,-4.4,0.002023397,-0.001422282,0.001439183,6.6,0.2
-10.8,-4.3,0.002033058,-0.001416723,0.001458157,6.7,0.2
-10.8,-4.2,0.002042856,-0.001411169,0.001477114,6.8,0.2
-10.8,-4.1,0.002052798,-0.001405615,0.00149607,6.9,0.2
-10.8,-4,0.002062085,-0.001399236,0.001514706,7,0.2
-10.8,-3.9,0.002071223,-0.001392325,0.001533426,7.1,0.2
-10.8,-3.8,0.002081224,-0.00138576,0.001552792,7.2,0.2
-10.8,-3.7,0.002091377,-0.001379195,0.001572158,7.3,0.2
-10.8,-3.6,0.00210168,-0.00137263,0.001591524,7.4,0.2
-10.8,-3.5,0.002112131,-0.001366065,0.001610889,7.5,0.2
-10.8,-3.4,0.002122727,-0.0013595,0.001630255,7.6,0.2
-10.8,-3.3,0.002133467,-0.001352935,0.001649621,7.7,0.2
-10.8,-3.2,0.00214353,-0.001344004,0.001669843,7.8,0.2
-10.8,-3.1,0.002153179,-0.001333302,0.001690706,7.9,0.2
-10.8,-3,0.002163039,-0.0013226,0.001711569,8,0.2
-10.8,-2.9,0.002172355,-0.001311124,0.001732074,8.1,0.2
-10.8,-2.8,0.002181193,-0.001298932,0.001752249,8.2,0.2
-10.8,-2.7,0.002190249,-0.00128674,0.001772425,8.3,0.2
-10.8,-2.6,0.00219952,-0.001274548,0.0017926,8.4,0.2
-10.8,-2.5,0.002209004,-0.001262357,0.001812775,8.5,0.2
-10.8,-2.4,0.002218698,-0.001250165,0.00183295,8.6,0.2
-10.8,-2.3,0.002228599,-0.001237973,0.001853126,8.7,0.2
-10.8,-2.2,0.002238704,-0.001225781,0.001873301,8.8,0.2
-10.8,-2.1,0.002249011,-0.00121359,0.001893476,8.9,0.2
-10.8,-2,0.002261072,-0.001202681,0.001914681,9,0.2
-10.8,-1.9,0.002274498,-0.001192749,0.00193667,9.1,0.2
-10.8,-1.8,0.002283937,-0.001174769,0.001958644,9.2,0.2
-10.8,-1.7,0.002291045,-0.001155843,0.001978109,9.3,0.2
-10.8,-1.6,0.002298108,-0.001139272,0.001995836,9.4,0.2
-10.8,-1.5,0.002305405,-0.001122701,0.002013563,9.5,0.2
-10.8,-1.4,0.002312934,-0.00110613,0.00203129,9.6,0.2
-10.8,-1.3,0.002320691,-0.00108956,0.002049017,9.7,0.2
-10.8,-1.2,0.002329109,-0.001072995,0.002067228,9.8,0.2
-10.8,-1.1,0.002339503,-0.001056457,0.002087384,9.9,0.2
-10.8,-1,0.002349104,-0.001040066,0.002106312,10,0.2
-10.8,-0.9,0.002357258,-0.001023908,0.002123271,10.1,0.2
-10.8,-0.8,0.002365616,-0.00100775,0.002140229,10.2,0.2
-10.8,-0.7,0.002374176,-0.000991593,0.002157187,10.3,0.2
-10.8,-0.6,0.002382936,-0.000975435,0.002174145,10.4,0.2
-10.8,-0.5,0.002391892,-0.000959277,0.002191104,10.5,0.2
-10.8,-0.4,0.002401044,-0.00094312,0.002208062,10.6,0.2
-10.8,-0.3,0.002410389,-0.000926962,0.00222502,10.7,0.2
-10.8,-0.2,0.002420388,-0.000908516,0.002243408,10.8,0.2
-10.8,-0.1,0.002430741,-0.000889532,0.002262131,10.9,0.2
-10.8,0,0.002436026,-0.000860622,0.002278936,11,0.2
-10.8,0.1,0.002439538,-0.000829013,0.002294359,11.1,0.2
-10.8,0.2,0.002439258,-0.000803492,0.002303125,11.2,0.2
-10.8,0.3,0.002439277,-0.00077797,0.00231189,11.3,0.2
-10.8,0.4,0.002439594,-0.000752449,0.002320655,11.4,0.2
-10.8,0.5,0.002440209,-0.000726927,0.00232942,11.5,0.2
